TIPO;CATEGORIA;TAREA;DESCRIPCIÓN;VARIANTES;OBJETIVO;ESPACIO;TIEMPO TOTAL;MATERIAL;VIDEO DRIVE ID
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;RUEDA PASES 6 JUGADORES - 2 PAREDES;Jugamos 6 jugadores a la vez con dos balones. El jugador central tiene que realizar 2 paredes y seguir la secuencia de pases.;;PAREDES;30x30;15;BALONES , CHINOS , PICAS;https://drive.google.com/file/d/1n9Fe9EIeQRqLRwNrPUjlktxj66sQAPEc/view?usp=drive_link
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;RUEDA PASES TOMA DE DECISIÓN CON OPOSICIÓN;Jugamos dos equipos, uno hace oposición y el otro realiza la rueda de pases. Los pases lo eligen los jugadores dependiendo de la presión del rival. Cada serie cambiamos de rol a los equipos.;;TOMA DE DECISION;30x30;15;BALONES , CHINOS , PETOS;https://drive.google.com/file/d/125uGExHJZwDrfbzRdJ8G4SGYsH8GXHdQ/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUE DIAGONAL 4x1;Iniciamos una jugada con un pase del punta al medio centro, el defensor sale a presionar el pase y el medio tiene que jugar con un extremo rápido para atacar. EL defensor tiene que llegar a defender y el punta a dar apoyo al extremo.;;ATAQUE RAPIDO;1/2 Campo;20;BALONES , CHINOS , PETOS;https://drive.google.com/file/d/18MRCxgDoFtCSLVsxIQr9OvW-Dgi1_Ri6/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUES 3x3+2;Jugamos un 3x3 en la zona marcada con 2 comodines por fuera. Para marcar gol hay que realizar 7 pases y atacar area con los 3 jugadores. Si robas tienes 3 pases para hacer gol en porteria pequeña.;;PROGRESAR;25x20;20;BALONES , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1H2nTtEdGP0JdWB9VsNgGuvmxYFSjnjBm/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUES LATERALES 5x4;Jugamos un 4x3 con dos comodines que serán jugadores de banda. Para hacer gol, el pase tiene que venir desde un jugador de banda y su centro podrá ser aéreo o raso. Si el equipo rival consigue robar, podrá meter gol en portería pequeña.;;CENTRO Y REMATE;Doble area;20;BALONES , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1FnL6zGZqYfksHMPSoJm2N7Rctu3rQq4e/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;1x1 CARRERA Y ENCARAR;Iniciamos con el jugador atacante conduciendo el balón y el defensor detrás de él. Cuando cruce la línea de chinos, el atacante tiene que conseguir girarse para encarar y marcar gol en cualquiera de las dos porterías.;;REGATE;25x20;15;BALONES , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1BqDYI46RoUKLOSb0KQNRDtH_eADNwGNU/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;1x1 POR EQUIPOS;Jugamos por equipos. Cada jugador tiene que salir e intentar superar (regateando) al defensor y jugar con su compañero que lo tiene enfrente. Si el defensor intercepta, tiene que jugar con un compañero, sino no se cambia de rol.;;REGATE;30x30;20;BALONES , CHINOS , CONOS , PETOS;https://drive.google.com/file/d/1oaostIlRGauKDw5MPG_zdGmzTEC9rdj0/view?usp=drive_link
JUEGO LÚDICO;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;3 EN RAYA HUMANO + FINALIZACIÓN;Jugamos un 3 en raya pero cada jugador es el que ocupa los espacios para conseguirlo. El equipo que gane tiene 3 disparos a porterías pequeñas, se suman los goles conseguidos.;;DIVERSIÓN;15x15;15;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1oZN84LEO3ZoyI71yAG5ltdJSCTbSW2NN/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;3x3x3 - 3 ESPACIOS;Se juega en el espacio central un 3x3+3, donde los comodines van con el equipo que tiene el balón. Cuando se dan 5 pases, se puede ir a las zonas laterales y marcar gol en las porterías enfrentadas, pero solo podrán entrar en esa zona los jugadores de cada equipo, los comodines no.;;BUSCAR SUPERIORIDADES;40x40;20;BALONES , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/12dA3S6EMIfNnKI-pWviHzAikmUm2BLT3/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;4x4 EN 2 ZONAS;Jugamos dos equipos, los atacantes tienen dos jugadores exteriores que se mueven por todo lo ancho del campo y dos interiores que ocupan cada zona. Los defensores tendrán 2 jugadores en cada espacio interior. Para hacer gol hay que buscar superioridades y velocidad de balón para encontrar espacios libres. Cada serie cambiamos de roles.;;BUSCAR SUPERIORIDADES;40x30;20;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1Ki1ocHaVNDRs4H6iwFVu_fy7kRVGEw1B/view?usp=drive_link
